product_id;group_id;product_name;product_price
1847;17;Ativa-D5772-2-Line-5.8GHz-Digital-Expandable-Corded-Cordless-Phone-System-with-Answering-&-Caller-ID-Call-Waiting-Black-Silver;164.99
1759;17;I-Needs-3d-Hello-Kitty-Hybrid-Silicone-Case-Cover-for-HTC-One-X-4g-with-3d-Hello-Kitty-Stylus-Pen-Green-pink;11.96
1829;17;Panasonic-KX-TG9541B-DECT-6.0-Digital-2-Line-Expandable-Cordless-Phone-With-Digital-Answering-System;149.99
1745;17;iKross-Bluetooth-Portable-Keyboard-+-Cell-Phone-Stand-Holder-+-Brush-for-Apple-iPhone-5S-5C-5-4S-4;20.95
413;5;Holmes-Cool-Mist-Humidifier-for-the-Whole-House-with-8-Gallon-Output-per-Day-Extended-Life-Filter;19.9
1857;17;LF-Elite-3D-Dazzle-Designer-Hard-Case-Cover-Lf-Stylus-Pen-and-Wiper-For-Apple-Iphone-5c-Mini-Lite;10.9
968;10;Avery-05222-Permanent-Self-Adhesive-File-Folder-Labels-for-Typewriters-on-Rolls-White-250-Roll;4.13
1058;11;White-Dual-Perf-Computer-Printout-Paper-2700-Sheets-1-Part-Heavyweight-20-lbs.-14-7-8-x-11;55.48
1853;17;KLD-Oscar-II-Style-Snap-on-Ultra-Thin-Side-Flip-Synthetic-Leather-Cover-Case-for-HTC-One-HTC-M7;9.72
477;5;Holmes-Visible-Mist-Ultrasonic-Humidifier-with-2.3-Gallon-Output-per-Day-Replacement-Filter;11.32
1151;11;Adams-Telephone-Message-Book-W-Dividers-Space-For-Phone-Numbers-5-1-4X8-1-2-300-Messages;5.88
1189;11;Adams-Telephone-Message-Book-W-Dividers-Space-For-Phone-Numbers-5-1-4X8-1-2-200-Messages;48.94
79;2;Office-Star---Professional-Matrix-Back-Chair-with-2-to-1-Synchro-Tilt-and-Mesh-Fabric-Seat;350.98
137;2;Office-Star---Mid-Back-Dual-function-Ergonomic-High-Back-Chair-with-2-Way-Adjustable-Arms;144.88
1129;11;1-4-Fold-Party-Design-Invitations-&-White-Envelopes-24-8-1-2-X-11-Cards-25-Env.-Pack;7.35
288;3;Tenex-Contemporary-Contur-Chairmats-for-Low-and-Medium-Pile-Carpet-Computer-39-x-49;107.53
1304;11;Rediform-S.O.S.-1-Up-Phone-Message-Bk-4-1-4x3-1-16-Bk-1-Form-Pg-40-Messages-Bk-3-Pk;9.38
392;5;Sanyo-Counter-Height-Refrigerator-with-Crisper-3.6-Cubic-Foot-Stainless-Steel-Black;328.14
451;5;Fellowes-8-Outlet-Superior-Workstation-Surge-Protector-w-o-Phone-Fax-Modem-Protection;33.62
